"beserver","timestamp","durationmin","durationmax","durationavg"
"VI1PR0402MB3646","06.03.2018 14:03:14","420,7214","542,9713","479,27412"
"VI1PR0402MB3646","06.03.2018 14:03:24","383,2544","733,6073","456,0523"
"VI1PR0402MB3646","06.03.2018 14:03:34","399,3866","855,7584","484,09471"
"VI1PR0402MB3646","06.03.2018 14:03:44","384,985","817,6508","463,85392"
"VI1PR0402MB3646","06.03.2018 14:03:54","418,6179","866,2257","536,68961"
"VI1PR0402MB3646","06.03.2018 14:04:04","404,47","563,836","461,0067"
"VI1PR0402MB3646","06.03.2018 14:04:14","399,6519","525,073","465,68992"
"VI1PR0402MB3646","06.03.2018 14:04:24","413,8553","504,1013","452,21454"
"VI1PR0402MB3646","06.03.2018 14:04:34","406,8413","486,8631","449,78581"
"VI1PR0402MB3646","06.03.2018 14:04:44","405,8773","497,6884","448,73517"
"VI1PR0402MB3646","06.03.2018 14:04:54","304,6315","413,5198","318,83089"
"VI1PR0402MB3646","06.03.2018 14:05:04","305,2694","307,4768","306,11506"
"VI1PR0402MB3646","06.03.2018 14:05:14","304,3832","323,6989","309,42687"
"VI1PR0402MB3646","06.03.2018 14:05:24","304,9626","333,0594","310,66033"
"VI1PR0402MB3646","06.03.2018 14:05:34","304,6378","308,4668","306,10094"
"VI1PR0402MB3646","06.03.2018 14:05:44","303,8542","549,0297","353,82523"
"VI1PR0402MB3646","06.03.2018 14:05:54","303,9979","328,4358","308,57727"
"VI1PR0402MB3646","06.03.2018 14:06:04","303,7709","317,9851","306,91144"
"VI1PR0402MB3646","06.03.2018 14:06:14","305,0692","333,1032","313,38373"
"VI1PR0402MB3646","06.03.2018 14:06:24","303,6241","337,6529","311,97401"
"VI1PR0402MB3646","06.03.2018 14:06:34","304,7851","312,7212","307,15192"
"VI1PR0402MB3646","06.03.2018 14:06:44","305,4131","353,1074","318,0997"
"VI1PR0402MB3646","06.03.2018 14:06:54","303,6691","866,6903","362,4906"
"VI1PR0402MB3646","06.03.2018 14:07:04","302,9345","403,8337","315,27836"
"VI1PR0402MB3646","06.03.2018 14:07:14","303,4007","320,967","307,61808"
"VI1PR0402MB3646","06.03.2018 14:07:24","302,8911","313,7705","307,54714"
"VI1PR0402MB3646","06.03.2018 14:07:34","304,3145","323,198","308,80456"
"VI1PR0402MB3646","06.03.2018 14:07:44","304,7211","314,7415","307,06864"
"VI1PR0402MB3646","06.03.2018 14:07:54","303,6016","600,3671","361,00598"
"VI1PR0402MB3646","06.03.2018 14:08:04","304,7759","344,9035","313,55391"
"VI1PR0402MB3646","06.03.2018 14:08:14","303,4283","472,7627","323,57246"
"VI1PR0402MB3646","06.03.2018 14:08:24","305,2974","619,864","340,54335"
"VI1PR0402MB3646","06.03.2018 14:08:34","303,0506","308,3685","306,1474"
"VI1PR0402MB3646","06.03.2018 14:08:44","305,1083","313,2383","306,96059"
"VI1PR0402MB3646","06.03.2018 14:08:54","304,35","334,2341","309,44953"
"VI1PR0402MB3646","06.03.2018 14:09:04","304,83","310,5651","306,98634"
"VI1PR0402MB3646","06.03.2018 14:09:14","303,7441","308,0913","306,28636"
"VI1PR0402MB3646","06.03.2018 14:09:24","307,1724","670,4348","347,39154"
"VI1PR0402MB3646","06.03.2018 14:09:34","304,2505","310,8076","306,63031"
"VI1PR0402MB3646","06.03.2018 14:09:44","304,2257","313,7393","307,97416"
"VI1PR0402MB3646","06.03.2018 14:09:54","303,6418","307,3212","305,90057"
"VI1PR0402MB3646","06.03.2018 14:10:04","304,3354","319,4807","309,05506"
"VI1PR0402MB3646","06.03.2018 14:10:14","304,5209","326,4645","308,59374"
"VI1PR0402MB3646","06.03.2018 14:10:24","303,5542","326,6267","310,25313"
"VI1PR0402MB3646","06.03.2018 14:10:34","304,6816","364,2508","319,57652"
"VI1PR0402MB3646","06.03.2018 14:10:44","305,3207","328,5806","310,01718"
"VI1PR0402MB3646","06.03.2018 14:10:54","306,2084","559,5626","353,87547"
"VI1PR0402MB3646","06.03.2018 14:11:04","307,0094","416,4729","333,8356"
"VI1PR0402MB3646","06.03.2018 14:11:14","304,7823","314,5726","308,25977"
"VI1PR0402MB3646","06.03.2018 14:11:24","304,8838","311,4988","307,71949"
"VI1PR0402MB3646","06.03.2018 14:11:34","304,8991","317,8398","308,3046"
"VI1PR0402MB3646","06.03.2018 14:11:44","304,0824","317,9377","308,32306"
"VI1PR0402MB3646","06.03.2018 14:11:54","305,3759","342,7613","313,17537"
"VI1PR0402MB3646","06.03.2018 14:12:04","304,1476","411,2809","317,2513"
"VI1PR0402MB3646","06.03.2018 14:12:14","304,9745","309,3592","307,16777"
"VI1PR0402MB3646","06.03.2018 14:12:24","304,7898","327,085","311,70485"
"VI1PR0402MB3646","06.03.2018 14:12:34","305,1458","312,5254","308,69724"
"VI1PR0402MB3646","06.03.2018 14:12:44","304,6496","331,4607","309,16979"
"VI1PR0402MB3646","06.03.2018 14:12:54","304,5138","311,7822","307,7501"
"VI1PR0402MB3646","06.03.2018 14:13:04","305,6673","338,0437","311,13027"
"VI1PR0402MB3646","06.03.2018 14:13:14","303,6797","315,5192","308,36647"
"VI1PR0402MB3646","06.03.2018 14:13:24","305,1312","317,1171","308,52182"
"VI1PR0402MB3646","06.03.2018 14:13:34","305,0195","318,9214","307,29842"
"VI1PR0402MB3646","06.03.2018 14:13:44","303,3928","309,6206","305,54857"
"VI1PR0402MB3646","06.03.2018 14:13:54","305,0353","309,9988","307,25354"
"VI1PR0402MB3646","06.03.2018 14:14:04","305,0539","309,9722","307,1646"
"VI1PR0402MB3646","06.03.2018 14:14:14","303,345","320,7439","307,93728"
"VI1PR0402MB3646","06.03.2018 14:14:24","304,5071","314,5615","307,86453"
"VI1PR0402MB3646","06.03.2018 14:14:34","305,078","309,1189","306,55873"
"VI1PR0402MB3646","06.03.2018 14:14:44","303,3478","314,9764","306,23371"
"VI1PR0402MB3646","06.03.2018 14:14:54","304,787","317,9788","308,75739"
"VI1PR0402MB3646","06.03.2018 14:15:04","304,4527","382,7527","315,10131"
"VI1PR0402MB3646","06.03.2018 14:15:14","393,1619","483,3246","431,02321"
"VI1PR0402MB3646","06.03.2018 14:15:24","380,9653","462,7943","425,25445"
"VI1PR0402MB3646","06.03.2018 14:15:34","359,3332","472,0284","410,64741"
"VI1PR0402MB3646","06.03.2018 14:15:44","403,2834","526,5143","457,46573"
"VI1PR0402MB3646","06.03.2018 14:15:54","385,9888","498,2371","427,7317"
"VI1PR0402MB3646","06.03.2018 14:16:04","399,0948","493,3242","440,23846"
"VI1PR0402MB3646","06.03.2018 14:16:14","383,1482","451,4262","420,48344"
"VI1PR0402MB3646","06.03.2018 14:16:25","347,767","1006,2784","517,71257"
"VI1PR0402MB3646","06.03.2018 14:16:35","346,809","730,3657","434,88836"
"VI1PR0402MB3646","06.03.2018 14:16:45","360,6157","474,5765","413,95145"
"VI1PR0402MB3646","06.03.2018 14:16:55","391,3679","486,5481","433,04075"
"VI1PR0402MB3646","06.03.2018 14:17:05","398,8655","489,6085","436,2412"
"VI1PR0402MB3646","06.03.2018 14:17:15","392,397","457,6733","416,44145"
"VI1PR0402MB3646","06.03.2018 14:17:25","377,4794","523,8896","434,18227"
"VI1PR0402MB3646","06.03.2018 14:17:35","390,2582","455,8042","421,0462"
"VI1PR0402MB3646","06.03.2018 14:17:45","408,3018","493,5448","447,90667"
"VI1PR0402MB3646","06.03.2018 14:17:55","386,4604","720,7013","448,38252"
"VI1PR0402MB3646","06.03.2018 14:18:05","363,1914","834,5764","503,75848"
"VI1PR0402MB3646","06.03.2018 14:18:15","366,4775","482,0366","403,51752"
"VI1PR0402MB3646","06.03.2018 14:18:25","385,5703","476,9962","430,76246"
"VI1PR0402MB3646","06.03.2018 14:18:35","304,2683","473,2786","422,89414"
"VI1PR0402MB3646","06.03.2018 14:18:45","302,9282","354,3153","315,76587"
"VI1PR0402MB3646","06.03.2018 14:18:55","304,5407","460,5901","336,00959"
"VI1PR0402MB3646","06.03.2018 14:19:06","267,5433","1611,3041","435,19491"
"VI1PR0402MB3646","06.03.2018 14:19:16","261,168","282,0986","265,52507"
"VI1PR0402MB3646","06.03.2018 14:19:26","261,6784","278,2207","267,21618"
"VI1PR0402MB3646","06.03.2018 14:19:36","260,9567","273,5592","264,82966"
"VI1PR0402MB3646","06.03.2018 14:19:46","259,8333","631,6376","308,25163"
"VI1PR0402MB3646","06.03.2018 14:19:56","261,777","301,9891","268,32463"
"VI1PR0402MB3646","06.03.2018 14:20:06","260,444","628,1481","304,55841"
"VI1PR0402MB3646","06.03.2018 14:20:16","261,6337","277,3002","266,95494"
"VI1PR0402MB3646","06.03.2018 14:20:26","262,6652","273,7175","266,06551"
"VI1PR0402MB3646","06.03.2018 14:20:36","261,1616","276,0291","265,71314"
"VI1PR0402MB3646","06.03.2018 14:20:46","260,354","296,653","269,71645"
"VI1PR0402MB3646","06.03.2018 14:20:56","261,282","278,7275","267,92062"
"VI1PR0402MB3646","06.03.2018 14:21:06","260,596","651,7234","303,44354"
"VI1PR0402MB3646","06.03.2018 14:21:16","263,0812","273,8995","267,04041"
"VI1PR0402MB3646","06.03.2018 14:21:26","261,9717","285,0994","267,77267"
"VI1PR0402MB3646","06.03.2018 14:21:36","261,1786","276,0058","265,60163"
"VI1PR0402MB3646","06.03.2018 14:21:46","262,4371","277,0573","267,4364"
"VI1PR0402MB3646","06.03.2018 14:21:56","203,3782","693,2555","295,06746"
"VI1PR0402MB3646","06.03.2018 14:22:06","202,4087","227,1596","207,11445"
"VI1PR0402MB3646","06.03.2018 14:22:16","203,8341","225,3276","207,60748"
"VI1PR0402MB3646","06.03.2018 14:22:26","202,2974","220,3634","208,84424"
"VI1PR0402MB3646","06.03.2018 14:22:36","202,9795","209,2879","205,59558"
"VI1PR0402MB3646","06.03.2018 14:22:46","201,7456","215,2381","206,57271"
"VI1PR0402MB3646","06.03.2018 14:22:56","201,247","212,6561","204,43935"
"VI1PR0402MB3646","06.03.2018 14:23:06","201,8849","560,3994","257,21278"
"VI1PR0402MB3646","06.03.2018 14:23:16","202,4434","689,1561","258,21013"
"VI1PR0402MB3646","06.03.2018 14:23:26","204,0366","227,3456","212,26268"
"VI1PR0402MB3646","06.03.2018 14:23:36","202,1513","221,3206","208,9765"
"VI1PR0402MB3646","06.03.2018 14:23:46","203,585","221,5764","208,64912"
"VI1PR0402MB3646","06.03.2018 14:23:56","201,6386","215,2575","204,68283"
"VI1PR0402MB3646","06.03.2018 14:24:06","203,1524","934,8033","294,06014"
"VI1PR0402MB3646","06.03.2018 14:24:16","202,7802","578,0979","242,17026"
"VI1PR0402MB3646","06.03.2018 14:24:26","203,2542","207,892","205,24497"
"VI1PR0402MB3646","06.03.2018 14:24:36","202,7087","935,1061","279,95761"
"VI1PR0402MB3646","06.03.2018 14:24:46","202,2444","936,8315","278,70137"
"VI1PR0402MB3646","06.03.2018 14:24:56","204,4633","646,9009","264,37473"
"VI1PR0402MB3646","06.03.2018 14:25:06","222,8443","232,0725","227,29422"
"VI1PR0402MB3646","06.03.2018 14:25:16","202,3393","229,406","214,15297"
"VI1PR0402MB3646","06.03.2018 14:25:26","202,9759","269,688","213,36601"
"VI1PR0402MB3646","06.03.2018 14:25:36","226,1811","644,523","270,42814"
"VI1PR0402MB3646","06.03.2018 14:25:46","220,7091","490,4208","252,76494"
"VI1PR0402MB3646","06.03.2018 14:25:56","222,6817","226,3275","224,45244"
"VI1PR0402MB3646","06.03.2018 14:26:06","224,7624","245,6156","230,0019"
"VI1PR0402MB3646","06.03.2018 14:26:16","222,6051","652,8358","297,26548"
"VI1PR0402MB3646","06.03.2018 14:26:26","222,6489","227,5342","224,99847"
"VI1PR0402MB3646","06.03.2018 14:26:36","222,716","244,7702","231,13665"
"VI1PR0402MB3646","06.03.2018 14:26:46","223,5442","246,3388","228,87598"
"VI1PR0402MB3646","06.03.2018 14:26:56","223,9504","251,1515","229,74526"
"VI1PR0402MB3646","06.03.2018 14:27:06","223,6563","236,3242","227,63629"
"VI1PR0402MB3646","06.03.2018 14:27:16","204,7337","686,7396","265,15302"
"VI1PR0402MB3646","06.03.2018 14:27:27","201,6311","1287,4797","318,89001"
"VI1PR0402MB3646","06.03.2018 14:27:37","203,724","692,3693","262,64876"
"VI1PR0402MB3646","06.03.2018 14:27:47","203,7942","213,1547","206,81893"
"VI1PR0402MB3646","06.03.2018 14:27:57","203,2143","220,44","206,87559"
