"timestamp","durationavgms","durationmaxms","durationminms","totalchecks","beserver"
"2019-01-15 15:22:41","282","3933","186","60","AM6PR04MB5013"
"2019-01-15 15:23:41","200","267","187","60","AM6PR04MB5013"
"2019-01-15 15:24:41","207","330","185","60","AM6PR04MB5013"
"2019-01-15 15:25:41","199","233","187","60","AM6PR04MB5013"
"2019-01-15 15:26:42","219","1582","186","60","AM6PR04MB5013"
"2019-01-15 15:27:42","200","246","186","60","AM6PR04MB5013"
"2019-01-15 15:28:42","199","253","187","60","AM6PR04MB5013"
"2019-01-15 15:29:42","198","274","186","60","AM6PR04MB5013"
"2019-01-15 15:30:42","202","294","185","60","AM6PR04MB5013"
"2019-01-15 15:31:42","199","253","187","60","AM6PR04MB5013"
"2019-01-15 15:32:42","216","748","187","60","AM6PR04MB5013"
"2019-01-15 15:33:42","205","315","188","60","AM6PR04MB5013"
"2019-01-15 15:34:42","206","352","189","60","AM6PR04MB5013"
"2019-01-15 15:35:42","198","256","187","60","AM6PR04MB5013"
"2019-01-15 15:36:45","270","3962","191","60","AM6PR04MB5013"
"2019-01-15 15:37:46","234","1100","189","60","AM6PR04MB5013"
"2019-01-15 15:38:46","208","475","184","60","AM6PR04MB5013"
"2019-01-15 15:39:47","231","1498","111","60","AM6PR04MB5013"
