"AverageJitterInMsAvg","RoundTripLatencyMaxInMs","Packetssentcount","PacketLossRateMax","RoundTripLatencyAvgInMs","PacketLossRateAvg","PacketReorderRatioAvg","PacketReorderRatioMax","Packetssentsum","AverageJitterInMsMax"
"0","0","0","0","0","0","0","0","0","0"
"14","27","1","0","27","0","0","0","851","14"
"5","28","1","0","28","0","0","0","851","5"
"10","29","1","0","29","0","0","0","284","10"
"7","24","1","0","24","0","0","0","851","7"
"9","24","1","0","24","0","0","0","283","9"
"9","28","1","0","28","0","0","0","283","9"
"5","29","1","0","29","0","0","0","851","5"
"10","29","1","0","29","0","0","0","851","10"
"7","28","1","0","28","0","0","0","851","7"
"9","26","1","0","26","0","0","0","283","9"
"8","24","1","0","24","0","0","0","283","8"
"8","25","1","0","25","0","0","0","283","8"
"7","25","1","0","25","0","0","0","283","7"
"5","25","1","0","25","0","0","0","851","5"
"8","30","1","0","30","0","0","0","283","8"
"3","30","1","0","30","0","0","0","283","3"
"6","24","1","0","24","0","0","0","851","6"
"10","30","1","0","30","0","0","0","851","10"
"0","0","0","0","0","0","0","0","0","0"
"15","30","1","0","30","0","0","0","851","15"
"6","23","1","0","23","0","0","0","851","6"
"5","28","1","0","28","0","0","0","851","5"
"4","30","1","0","30","0","0","0","283","4"
"15","25","1","0","25","0","0","0","851","15"
"6","28","1","0","28","0","0","0","283","6"
"5","29","1","0","29","0","0","0","851","5"
"11","24","1","0","24","0","0","0","851","11"
"6","29","1","0","29","0","0","0","851","6"
"10","28","1","0","28","0","0","0","851","10"
"0","0","0","0","0","0","0","0","0","0"
"15","24","1","0","24","0","0","0","283","15"
"8","26","1","0","26","0","0","0","283","8"
"5","26","1","0","26","0","0","0","851","5"
"0","0","0","0","0","0","0","0","0","0"
"9","30","1","0","30","0","0","0","851","9"
"5","29","1","0","29","0","0","0","851","5"
"4","32","1","0","32","0","0","0","851","4"
"6","28","1","0","28","0","0","0","283","6"
"10","26","1","0","26","0","0","0","851","10"
"0","0","0","0","0","0","0","0","0","0"
"9","29","1","0","29","0","0","0","851","9"
"9","28","1","0","28","0","0","0","283","9"
"9","26","1","0","26","0","0","0","851","9"
"5","30","1","0","30","0","0","0","283","5"
"10","32","1","0","32","0","0","0","283","10"
"4","32","1","0","32","0","0","0","283","4"
"5","30","1","0","30","0","0","0","283","5"
"12","26","1","0","26","0","0","0","850","12"
"8","27","1","0","27","0","0","0","283","8"
"6","28","1","0","28","0","0","0","851","6"
"5","28","1","0","28","0","0","0","283","5"
"13","28","1","0","28","0","0","0","851","13"
"9","33","1","0","33","0","0","0","283","9"
"7","28","1","0","28","0","0","0","851","7"
"0","0","0","0","0","0","0","0","0","0"
"9","30","1","0","30","0","0","0","283","9"
"9","28","1","0","28","0","0","0","851","9"
"0","0","0","0","0","0","0","0","0","0"
"10","26","1","0","26","0","0","0","283","10"
"6","28","1","0","28","0","0","0","851","6"
"9","32","1","0","32","0","0","0","283","9"
"0","0","0","0","0","0","0","0","0","0"
"10","29","1","0","29","0","0","0","851","10"
"8","29","1","0","29","0","0","0","283","8"
"9","30","1","0","30","0","0","0","850","9"
"0","0","0","0","0","0","0","0","0","0"
"5","24","1","0","24","0","0","0","851","5"
"5","30","1","0","30","0","0","0","851","5"
"4","25","1","0","25","0","0","0","283","4"
"5","30","1","0","30","0","0","0","851","5"
"10","32","1","0","32","0","0","0","851","10"
"0","0","0","0","0","0","0","0","0","0"
"9","28","1","0","28","0","0","0","851","9"
"9","28","1","0","28","0","0","0","283","9"
"6","32","1","0","32","0","0","0","851","6"
"7","24","1","0","24","0","0","0","851","7"
"8","29","1","0","29","0","0","0","283","8"
"9","28","1","0","28","0","0","0","850","9"
"9","28","1","0","28","0","0","0","283","9"
"5","26","1","0","26","0","0","0","283","5"
"14","30","1","0","30","0","0","0","851","14"
"11","26","1","0","26","0","0","0","283","11"
"11","30","1","0","30","0","0","0","283","11"
"9","27","1","0","27","0","0","0","283","9"
"11","32","1","0","32","0","0","0","851","11"
"5","24","1","0","24","0","0","0","283","5"
"9","28","1","0","28","0","0","0","283","9"
"9","30","1","0","30","0","0","0","851","9"
"10","24","1","0","24","0","0","0","851","10"
"6","30","1","0","30","0","0","0","283","6"
"9","24","1","0","24","0","0","0","283","9"
"8","36","1","0","36","0","0","0","283","8"
"5","28","1","0","28","0","0","0","851","5"
"9","29","1","0","29","0","0","0","283","9"
"10","24","1","0","24","0","0","0","851","10"
"10","24","1","0","24","0","0","0","283","10"
"8","25","1","0","25","0","0","0","283","8"
"0","0","0","0","0","0","0","0","0","0"
"6","30","1","0","30","0","0","0","851","6"
"16","24","1","0","24","0","0","0","284","16"
"6","28","1","0","28","0","0","0","283","6"
"7","28","1","0","28","0","0","0","851","7"
"6","31","1","0","31","0","0","0","851","6"
"10","25","1","0","25","0","0","0","852","10"
"9","29","1","0","29","0","0","0","850","9"
"10","29","1","0","29","0","0","0","851","10"
"4","25","1","0","25","0","0","0","851","4"
"8","30","1","0","30","0","0","0","851","8"
"8","24","1","0","24","0","0","0","283","8"
"6","31","1","0","31","0","0","0","283","6"
"5","24","1","0","24","0","0","0","851","5"
"6","28","1","0","28","0","0","0","283","6"
"5","30","1","0","30","0","0","0","851","5"
"5","28","1","0","28","0","0","0","851","5"
"10","32","1","0","32","0","0","0","283","10"
"8","30","1","0","30","0","0","0","283","8"
"5","30","1","0","30","0","0","0","851","5"
"7","26","1","0","26","0","0","0","851","7"
"8","29","1","0","29","0","0","0","851","8"
"11","29","1","0","29","0","0","0","283","11"
"5","24","1","0","24","0","0","0","283","5"
"5","24","1","0","24","0","0","0","283","5"
"10","29","1","0","29","0","0","0","850","10"
"8","31","1","0","31","0","0","0","851","8"
"0","0","0","0","0","0","0","0","0","0"
"5","30","1","0","30","0","0","0","851","5"
"10","26","1","0","26","0","0","0","284","10"
"9","26","1","0","26","0","0","0","851","9"
"10","31","1","0","31","0","0","0","283","10"
"6","26","1","0","26","0","0","0","283","6"
"8","24","1","0","24","0","0","0","283","8"
"5","29","1","0","29","0","0","0","851","5"
"10","24","1","0","24","0","0","0","851","10"
"5","28","1","0","28","0","0","0","851","5"
"10","30","1","0","30","0","0","0","283","10"
