"CallStartTime","PacketLossRate","RoundTripLatencyInMs","PacketsSent","PacketsReceived","AverageJitterInMs","PacketReorderRatio"
"07.05.2018 14:04:50","0","28,5","851","851","6,361409","0"
"07.05.2018 14:05:16","0","31,5","851","851","13,37631","0"
"07.05.2018 14:05:42","0","31,5","283","283","15,51635","0"
"07.05.2018 14:06:08","0","29","283","283","31,16918","0"
"07.05.2018 14:06:34","0","28","283","283","7,011473","0"
"07.05.2018 14:07:08","0","29,5","283","283","4,538355","0"
"07.05.2018 14:07:34","0","30","851","851","5,003388","0"
"07.05.2018 14:08:00","0","24,5","851","851","4,976021","0"
"07.05.2018 14:08:43","0","27","851","851","13,68128","0"
"07.05.2018 14:09:09","0","28,5","851","851","4,648443","0"
"07.05.2018 14:09:35","0","29","284","284","9,822841","0"
"07.05.2018 14:10:01","0","24","851","851","7,460627","0"
"07.05.2018 14:10:27","0","24,5","283","283","9,286563","0"
"07.05.2018 14:10:53","0","28","283","283","8,92193","0"
"07.05.2018 14:11:19","0","29","851","851","5,070151","0"
"07.05.2018 14:11:45","0","29","851","851","10,23759","0"
"07.05.2018 14:12:11","0","28,5","851","851","7,383497","0"
"07.05.2018 14:12:38","0","25,5","283","283","9,365407","0"
"07.05.2018 14:13:04","0","23,5","283","283","7,644273","0"
"07.05.2018 14:13:30","0","25","283","283","8,469716","0"
"07.05.2018 14:13:56","0","25","283","283","6,5304","0"
"07.05.2018 14:14:22","0","25","851","851","4,925756","0"
"07.05.2018 14:14:48","0","29,5","283","283","7,705228","0"
"07.05.2018 14:15:14","0","29,5","283","283","3,364087","0"
"07.05.2018 14:15:40","0","23,5","851","851","6,141875","0"
"07.05.2018 14:16:06","0","29,5","851","851","10,34325","0"
"07.05.2018 14:16:40","0","30","851","851","14,68414","0"
"07.05.2018 14:17:07","0","23","851","851","6,115779","0"
"07.05.2018 14:17:33","0","28,5","851","851","4,771127","0"
"07.05.2018 14:17:59","0","30,5","283","283","4,297656","0"
"07.05.2018 14:18:25","0","25","851","851","14,54429","0"
"07.05.2018 14:18:51","0","28,5","283","283","6,407491","0"
"07.05.2018 14:19:17","0","29","851","851","5,133049","0"
"07.05.2018 14:19:43","0","24","851","851","11,16764","0"
"07.05.2018 14:20:08","0","29","851","851","5,939329","0"
"07.05.2018 14:20:35","0","28","851","851","9,509725","0"
"07.05.2018 14:21:09","0","24","283","283","15,23722","0"
"07.05.2018 14:21:35","0","26","283","283","8,300493","0"
"07.05.2018 14:22:01","0","26","851","851","5,306035","0"
"07.05.2018 14:22:35","0","30,5","851","851","9,498487","0"
"07.05.2018 14:23:01","0","29","851","851","5,352645","0"
"07.05.2018 14:23:27","0","32","851","851","4,359319","0"
"07.05.2018 14:23:53","0","28","283","283","6,112341","0"
"07.05.2018 14:24:20","0","25,5","851","851","9,643767","0"
"07.05.2018 14:24:54","0","29","851","851","9,116528","0"
"07.05.2018 14:25:20","0","28","283","283","8,86918","0"
"07.05.2018 14:25:46","0","26","851","851","9,143195","0"
"07.05.2018 14:26:12","0","29,5","283","283","5,042453","0"
"07.05.2018 14:26:38","0","31,5","283","283","10,02248","0"
"07.05.2018 14:27:04","0","32","283","283","4,364498","0"
"07.05.2018 14:27:31","0","29,5","283","283","5,221029","0"
"07.05.2018 14:27:58","0","25,5","850","850","12,28447","0"
"07.05.2018 14:28:24","0","27","283","283","7,85294","0"
"07.05.2018 14:28:50","0","28","851","851","6,340654","0"
"07.05.2018 14:29:16","0","28","283","283","4,944941","0"
"07.05.2018 14:29:42","0","28","851","851","13,39954","0"
"07.05.2018 14:30:08","0","33","283","283","9,425353","0"
"07.05.2018 14:30:34","0","28","851","851","6,978997","0"
"07.05.2018 14:31:08","0","29,5","283","283","9,308969","0"
"07.05.2018 14:31:35","0","28,5","851","851","8,512881","0"
"07.05.2018 14:32:09","0","26,5","283","283","10,17977","0"
"07.05.2018 14:32:35","0","28,5","851","851","5,738793","0"
"07.05.2018 14:33:01","0","31,5","283","283","8,673419","0"
"07.05.2018 14:33:36","0","29","851","851","9,638471","0"
"07.05.2018 14:34:01","0","29","283","283","7,858752","0"
"07.05.2018 14:34:28","0","30","850","850","9,135158","0"
"07.05.2018 14:35:02","0","24","851","851","4,725614","0"
"07.05.2018 14:35:28","0","29,5","851","851","4,775571","0"
"07.05.2018 14:35:54","0","25","283","283","4,48592","0"
"07.05.2018 14:36:20","0","30,5","851","851","4,530784","0"
"07.05.2018 14:36:46","0","32","851","851","10,12005","0"
"07.05.2018 14:37:20","0","28","851","851","9,426847","0"
