"remoteudpport","minroundtrip","successrttcount","remoteip","answerreceived","averagertt","maxroundtrip"
"3478","21","5","13.107.8.2","True","33","46"
"3478","21","5","13.107.8.2","True","24","31"
"3478","21","5","13.107.8.2","True","104","285"
"3478","23","5","13.107.8.2","True","72","247"
"3478","18","5","13.107.8.2","True","32","47"
"3478","26","5","13.107.8.2","True","39","66"
"3478","21","5","13.107.8.2","True","25","31"
"3478","20","5","13.107.8.2","True","53","99"
"3478","20","5","13.107.8.2","True","93","212"
"3478","19","5","13.107.8.2","True","63","215"
"3478","26","5","13.107.8.2","True","32","51"
"3478","20","5","13.107.8.2","True","25","33"
"3478","33","5","13.107.8.2","True","83","228"
"3478","29","5","13.107.8.2","True","80","226"
"3478","18","5","13.107.8.2","True","25","48"
"3478","22","5","13.107.8.2","True","55","77"
"3478","20","5","13.107.8.2","True","27","39"
"3478","19","5","13.107.8.2","True","41","70"
"3478","25","5","13.107.8.2","True","160","350"
"3478","30","5","13.107.8.2","True","38","61"
"3478","18","5","13.107.8.2","True","83","290"
"3478","23","5","13.107.8.2","True","34","44"
"3478","22","5","13.107.8.2","True","40","69"
"3478","25","5","13.107.8.2","True","74","257"
"3478","21","5","13.107.8.2","True","26","31"
"3478","20","5","13.107.8.2","True","59","191"
"3478","18","5","13.107.8.2","True","48","150"
"3478","20","5","13.107.8.2","True","141","443"
"3478","21","5","13.107.8.2","True","24","33"
"3478","21","5","13.107.8.2","True","78","266"
"3478","23","5","13.107.8.2","True","31","57"
"3478","19","5","13.107.8.2","True","28","38"
"3478","27","5","13.107.8.2","True","40","58"
"3478","26","5","13.107.8.2","True","42","77"
"3478","19","5","13.107.8.2","True","78","154"
"3478","18","5","13.107.8.2","True","26","41"
"3478","23","5","13.107.8.2","True","106","277"
"3478","18","5","13.107.8.2","True","32","51"
"3478","20","5","13.107.8.2","True","51","87"
"3478","19","5","13.107.8.2","True","54","154"
"3478","19","5","13.107.8.2","True","32","45"
"3478","18","5","13.107.8.2","True","80","271"
"3478","19","5","13.107.8.2","True","28","43"
"3478","18","5","13.107.8.2","True","38","93"
"3478","21","5","13.107.8.2","True","27","36"
"3478","22","5","13.107.8.2","True","37","56"
"3478","24","5","13.107.8.2","True","40","60"
"3478","22","5","13.107.8.2","True","87","344"
"3478","20","5","13.107.8.2","True","43","88"
"3478","18","5","13.107.8.2","True","73","277"
"3478","19","5","13.107.8.2","True","33","60"
"3478","23","5","13.107.8.2","True","58","165"
"3478","20","5","13.107.8.2","True","74","236"
"3478","20","5","13.107.8.2","True","44","91"
"3478","19","5","13.107.8.2","True","22","29"
"3478","21","5","13.107.8.2","True","30","48"
"3478","21","5","13.107.8.2","True","42","77"
"3478","19","5","13.107.8.2","True","72","274"
"3478","21","5","13.107.8.2","True","40","68"
"3478","19","5","13.107.8.2","True","39","68"
"3478","19","5","13.107.8.2","True","66","121"
"3478","18","5","13.107.8.2","True","23","29"
"3478","23","5","13.107.8.2","True","72","206"
"3478","19","5","13.107.8.2","True","52","117"
"3478","22","5","13.107.8.2","True","143","280"
"3478","20","5","13.107.8.2","True","88","277"
"3478","21","5","13.107.8.2","True","30","37"
"3478","22","5","13.107.8.2","True","75","267"
"3478","19","5","13.107.8.2","True","27","38"
"3478","20","5","13.107.8.2","True","63","213"
"3478","20","5","13.107.8.2","True","27","45"
"3478","33","5","13.107.8.2","True","70","115"
"3478","29","5","13.107.8.2","True","126","290"
"3478","19","5","13.107.8.2","True","26","34"
"3478","22","5","13.107.8.2","True","28","33"
"3478","20","5","13.107.8.2","True","24","28"
"3478","20","5","13.107.8.2","True","24","30"
"3478","23","5","13.107.8.2","True","103","282"
"3478","19","5","13.107.8.2","True","80","210"
"3478","18","5","13.107.8.2","True","64","219"
"3478","20","5","13.107.8.2","True","26","43"
"3478","22","5","13.107.8.2","True","27","39"
"3478","18","5","13.107.8.2","True","66","226"
"3478","18","5","13.107.8.2","True","33","68"
"3478","19","5","13.107.8.2","True","84","304"
"3478","18","5","13.107.8.2","True","21","30"
"3478","20","5","13.107.8.2","True","61","179"
"3478","23","5","13.107.8.2","True","28","36"
"3478","18","5","13.107.8.2","True","28","53"
"3478","18","5","13.107.8.2","True","48","85"
"3478","20","5","13.107.8.2","True","22","24"
"3478","1","4","13.107.8.2","True","150","312"
"3478","18","5","13.107.8.2","True","25","40"
"3478","20","5","13.107.8.2","True","36","54"
"3478","19","5","13.107.8.2","True","24","28"
"3478","19","5","13.107.8.2","True","26","34"
"3478","22","5","13.107.8.2","True","203","343"
"3478","23","5","13.107.8.2","True","55","166"
"3478","20","5","13.107.8.2","True","26","37"
"3478","18","5","13.107.8.2","True","32","54"
"3478","19","5","13.107.8.2","True","24","32"
"3478","2","4","13.107.8.2","True","130","296"
"3478","20","5","13.107.8.2","True","34","67"
"3478","23","5","13.107.8.2","True","83","260"
"3478","17","5","13.107.8.2","True","22","27"
"3478","20","5","13.107.8.2","True","77","294"
"3478","19","5","13.107.8.2","True","36","46"
"3478","28","5","13.107.8.2","True","51","70"
"3478","19","5","13.107.8.2","True","26","29"
"3478","18","5","13.107.8.2","True","26","33"
"3478","21","5","13.107.8.2","True","105","340"
"3478","19","5","13.107.8.2","True","41","106"
"3478","22","5","13.107.8.2","True","26","28"
"3478","20","5","13.107.8.2","True","27","41"
"3478","19","5","13.107.8.2","True","23","27"
"3478","21","5","13.107.8.2","True","36","48"
"3478","21","5","13.107.8.2","True","28","46"
"3478","24","5","13.107.8.2","True","81","276"
